"id","date","tweet","insult_1","target_1","insult_2","target_2","insult_3","target_3","insult_4","target_4","insult_5","target_5","insult_6","target_6"
"1900",2017-11-03,"...This is real collusion and dishonesty. Major violation of Campaign Finance Laws and Money Laundering - where is our Justice Department?","real collusion and dishonesty","democratic-national-committee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1901",2017-11-03,"..New Donna B book says she paid for and stole the Dem Primary. What about the deleted E-mails, Uranium, Podesta, the Server, plus, plus...","paid for and stole the Dem Primary","hillary-clinton",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1902",2017-11-03,"Bernie Sanders supporters have every right to be apoplectic of the complete theft of the Dem primary by Crooked Hillary!","Crooked","hillary-clinton",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1903",2017-11-03,"Donna Brazile just stated the DNC RIGGED the system to illegally steal the Primary from Bernie Sanders. Bought and paid for by Crooked H....","RIGGED the system to illegally steal the Primary from Bernie Sanders","democratic-national-committee","Crooked H","hillary-clinton",NA,NA,NA,NA,NA,NA,NA,NA
"1904",2017-11-03,"Everybody is asking why the Justice Department (and FBI) isn't looking into all of the dishonesty going on with Crooked Hillary & the Dems..","Crooked","hillary-clinton",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1905",2017-11-03,"I always felt I would be running and winning against Bernie Sanders, not Crooked H, without cheating, I was right.","Crooked","hillary-clinton",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1906",2017-11-03,"ISIS just claimed the Degenerate Animal who killed, and so badly wounded, the wonderful people on the West Side, was ""their soldier."" .....","Degenerate Animal","alleged-nyc-terrorist",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1907",2017-11-03,"Pocahontas just stated that the Democrats, lead by the legendary Crooked Hillary Clinton, rigged the Primaries! Lets go FBI & Justice Dept.","Pocahontas","elizabeth-warren","Crooked","hillary-clinton","rigged the Primaries!","democrats",NA,NA,NA,NA,NA,NA
"1908",2017-11-03,"The @TuckerCarlson opening statement about our once cherished and great FBI was so sad to watch. James Comey's leadership was a disaster!","leadership was a disaster!","james-comey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1909",2017-11-03,"The decision on Sergeant Bergdahl is a complete and total disgrace to our Country and to our Military.","a complete and total disgrace","bowe-bergdahl-decision",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
